Unnamed: 0,Unnamed: 0.1,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,sentiment_score,food_safety_flag
1775588,1775689,US,11778824,RAA5MMIRX295N,B00437JHPU,814546440,"Fiber One Chewy Bars, Oats and Chocolate, 5-Count Box",Grocery,2.0,2.0,5.0,N,Y,Tired of getting sick,"My husband and I used to be HUGE Fiber One Chew Bar fans until the last 6 months or so. It seems every couple of boxes or so we get a couple that makes us incredibly sick. When it first happened to me I kind of blew it off and never mentioned it to my husband, then it happened again, and then a third time. I finally made mention of it to him and he admitted to having the same problem! This package is the last one we will ever be purchasing.",2013-04-17,-0.4857,1
1777148,1777249,US,15414480,R1HHIF01GECI4M,B008YDK8X4,702564498,"Taste Nirvana Coconut Water, Coco Motion, 16.2 Ounce (Pack of 12)",Grocery,1.0,1.0,2.0,N,N,Bad product - Made me sick.,Made me sick. The originial is good. Not the Coco Motion. It gave me motions. You cannot return the item. You are stuck with it. I will not recommend this product to anyone. Go for the plain original.,2013-04-15,-0.2982,1
1777281,1777382,US,13849794,R1XRJ0DGC24AFM,B0009F3QL6,743954988,Yogi Tea,Grocery,1.0,0.0,7.0,N,N,It made all co-workers sick,"This Tea had a horrible after taste. There was 3 of us who tried this tea at work. We all didn't like it. So you can multiply this reveiw by 3. That makes it thriple terrible. After first the taste is warm and thick, but then the after taste was thick and sweet in a not good way. The after taste lasted a very long time too.",2013-04-15,-0.3641,1
1782716,1782818,US,13477980,R1KZ6RE6OW9SV4,B0060KPEK0,836772126,Lipton Iced Tea Mix,Grocery,1.0,0.0,1.0,N,N,sickening,"this product is sickening....stinks and tasteless, undrinkable and will have to be thrown out. shame on lipton company.  will never buy again",2013-04-10,-0.4767,1
1788506,1788608,US,34831911,R32DRAHAY5VWGZ,B002L28D2M,60353478,Bubble Yum Original Gum Big Pack - 2.8 oz - 12 ct,Grocery,5.0,0.0,0.0,N,Y,The pause with no ill affects,"Since I quit smoking by chewing Nicorette gum , I find that chewing bubble gum has become something that takes its place.  It tastes good and has no ill affects.  Yahoo !",2013-04-05,-0.3382,0
1790747,1790849,US,43121906,R2HUD6YNK0Z3BF,B0060GYDT2,91278017,"Hi-Country, Sweet Teriyaki Jerky Spice Kit",Grocery,1.0,0.0,1.0,N,Y,The smell of it cooking made us sick.,Not sure what spice was in it but the smell made my family sick and the taste was bad.  You millage may vary.  The video and instructions were good just the taste was bad.<br /><br />Thanks<br />Robert,2013-04-03,-0.7802,1
1793472,1793574,US,32780033,R1A300L0HHAKP,B00795X9T8,700716822,The Green Cup - Coffee Pod Adapter for Keurig and Kcup Coffee Machines,Grocery,1.0,3.0,4.0,N,Y,"Warning, warning danger Will Robinson!",The only thing &#34;green&#34; is the color. Not a good value. You are locked into buying coffee pods that are for another type of coffee maker. Then you have to fold spindle and mutilate the pods to get them to fit so the bags are punctured. The coffee that comes with the purchase is the worst coffee I have had since Viet Nam.,2013-04-01,-0.722,0
1798019,1798121,US,14794954,R238IHLFB915AU,B001MRL9SW,272191435,Turnbull Farms™ Fresh Gourmet Quail Eggs,Grocery,1.0,2.0,34.0,N,Y,I started getting sick,"These eggs were good, however, they started making my stomach hurt after 2 months.  I had sever stomach cramps, the cramps stopped after I stopped consuming the eggs.",2013-03-28,-0.5106,1
1798121,1798223,US,16015913,R11IFTOT823TTT,B004C3P786,961520449,"Sjaak's Foil-Wrapped Organic Chocolate Bites, 0.25 oz.",Grocery,1.0,1.0,1.0,N,Y,WARNING!!!!! Spoiled and outdated. Made me sick. NO STARS,I ordered the Sjaak's dark chocolate orange bites. These were spoiled and old. I tasted one and it gagged me and I had to spit it out. When I unwrapped another I could see how visably old they are. I will try to upload the picture. Then I looked at the label. They were 6 months past the expiration date. Now I feel sick to my stomach. So be warned. Unbelievable that this company would send these out to people. Irresponsible.,2013-03-28,-0.8323,1
1801277,1801379,US,52821337,R2LWMTG4AEGC8Y,B0019AC50I,112495241,"XYLOBURST Peppermint xylitol gum 12/12pc, 0.02 Pound",Grocery,1.0,0.0,1.0,N,Y,"Made me nauseous, gave me indigestion.",Why doesn't this gum have a warning about side effects? I kept feeling nauseous and having an upset stomach after I chewed it. I looked it up and found out this is a common reaction to xylotol. I would expect the gum to warn people of this since it took me a long time to make the connection between the gum and my stomach problems. Seems misleading.,2013-03-25,-0.8519,1
