Unnamed: 0,Unnamed: 0.1,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,sentiment_score,food_safety_flag
92461,92472,US,39315055,R2O55EFZHUL3L1,B00MDY0YVG,63674821,Lay's Cheddar Bacon Mac & Cheese Potato Chips Limited Edition 7.5oz,Grocery,1.0,1.0,3.0,N,N,"If you're afraid you've been poisoned and don't have ipecac, these will do the job.","These things - I refuse to call them &#34;chips&#34; as that insults chips everywhere - are an unholy abomination which should be wiped from the face of the earth. I have rarely if ever put something in my mouth that I needed to quickly spit out (short of siphoning a gas tank, for instance) and these are more gag-inducing than even that. There aren't words to describe the horror that is this potato chip. I'm just glad it was my coworker, and not myself, who wasted the dollar bill getting them out of the snack machine.",2015-07-30,-0.4717,0
94800,94811,US,50817445,R30VZHOSGHZFTY,B007IW305A,118841434,"Ajika Regal Pilaf with Nuts and Rasins -Whole Spice Aromatic Blend for Basmati Rice, 5-Ounce",Grocery,1.0,1.0,1.0,N,Y,"Terrible, buggy, rotten smell","What a different experience the other person who reviewed this item had.from mine. When i opened my jar, tiny little bugs appeared, crawling from inside the jar. The smell was strange, unpleasant, like spoiled refuse. The worst part was after i covered the jar and the jar was moving on the counter from the bugs inside of it. Absolutely horrifying. I wish now I'd taken a video of it - it was like something out of Poltergeist! Needless to say this item was thrown way (not inside the house) and i will not purchase any Ajika products ever again. I wish I could get the smell out of my nose, it's lingering there like a bad dream.",2015-07-29,-0.6734,1
98590,98601,US,42738111,R3OMR3IWMCHDTH,B00II6YIGU,167483393,Capstar Dogs & Cats Blue 2-25lbs 6 pk Flea Treatment,Grocery,4.0,0.0,0.0,N,Y,This is a good product. My cats had no ill effects and ...,This is a good product.  My cats had no ill effects and it did rid them of fleas.,2015-07-28,-0.2732,0
108424,108435,US,19278223,RGI0BTFNDROU9,B004OVWQDA,647776976,"Taste Nirvan, Coconut Water, (Pack of 12)",Grocery,3.0,5.0,5.0,N,Y,... return two of them because they did not taste like the others and made me feel nauseous I have ...,"This stuff is delicious and I have ordered several cases but after having to return two of them because they did not taste like the others and made me feel nauseous I have decided not to order any further products. This might not be the company's fault but Amazon's, regardless I feel the need to share my poor experience.",2015-07-25,-0.7364,1
110787,110798,US,30804716,R3AS6OXW82P248,B00VN76PCQ,584830304,"Crunchies Freeze Dried Fruit Snack Organic Variety Pack, 5 Count (Pack of 6)",Grocery,3.0,0.0,1.0,N,Y,Disappointing and dangerous for toddlers,"These were rather  disappointing - they are very tiny bits of freeze dried fruit in a very small package. The mango and apple bits are very hard, even when soaked in milk (I use this type of fruit in cereal). I definitely would not give these to toddlers because of danger of choking on the hard ones.",2015-07-24,-0.8437,1
117185,117196,US,50690069,RVHJN364P7C1K,B0012DIONY,820463241,"Nature Made Vitamin C 1000mg, 300 Tablets",Grocery,5.0,0.0,1.0,N,Y,An absolute necessity for those who get sick with cold easily,"I used to get sick with hideous cold, which literally immobilized me for weeks and I used to get cold 2-3 times/year, and I had the trend for over 10 years.<br /><br />With a 1000mg (one pill) daily supply of this & 15-30 minutes of exercise on a bicycle/day, I haven't had cold for over a year now, but I got sick lately and recovered quickly.  As far as I'm concerned, the one without rosehip seems to work better.<br /><br />I hate dealing with health insurance bogus (health insurance in the U.S is a joke, if not criminal act) so I'll keep getting this for the rest of my life.",2015-07-22,-0.7774,0
121172,121183,US,47249115,R2XQMYCMRB5GWF,B001534R00,106536491,"Celsius Calorie Reducing Drink, 12 Ounce Cans",Grocery,1.0,1.0,4.0,N,N,Makes you very jittery / dizzy. Tried on two ...,Makes you very jittery / dizzy. Tried on two different occasions both ended the same. Spending the rest of the day in bed after drinking.,2015-07-20,-0.2911,1
132542,132554,US,21898031,R3IYLFPISUW6VQ,B00GVXNTJY,923402324,"Pure N Simple 100% Pure Honey, 5 lb (80 oz) Bulk Size",Grocery,1.0,21.0,32.0,N,N,"I get sick and tired of people, trying to ...","I get sick and tired of people,trying to pass off junk as honey. Get a real job an work for it,,shammer,scamer.RIP OFF",2015-07-16,-0.7351,0
133640,133652,US,39238379,R1NC0SN56I6CLY,B0009QYJV6,987333030,"Russian Caravan Tea, 8oz.",Grocery,5.0,0.0,0.0,N,Y,I was sick of getting Russian caravan tea that tasted more like Chinese lapsang (not as smoky) and I really craved ...,Really smoky - just what I wanted.  I was sick of getting Russian caravan tea that tasted more like Chinese lapsang (not as smoky) and I really craved the smoky flavor.,2015-07-16,-0.1298,0
145694,145707,US,27549061,RSQQLI4BHXF10,B009EQI2NI,473821336,"The Original Soupman, 17.3 Ounce",Grocery,1.0,1.0,2.0,N,N,made me sick,"Tried it twice, first time made me sick, second time same result. Thought maybe it was just a bad batch or perhaps something else that day didn't sit well, probably some reaction to a preservative they use or the dates on the boxes aren't accurate, either way 100% of the time I've tried it it's made me ill.",2015-07-12,-0.8863,1
148420,148433,US,41157135,RRQQUOSXWNEM4,B00HS98ZXK,987114704,Three Bakers Gluten Free Rye Style Bread (Pack of 3),Grocery,1.0,0.0,1.0,N,N,It tastes great but makes me sick,"It is the best gluten free bread on the market, but it makes me have really bad diarrhea every time I eat it.  Is anyone else experiencing similar issues?",2015-07-11,-0.3484,1
